state_name,district_name,disability_type,age_group (Years),Male_count,female_count,total
Chhattisgarh,Baloda Bazar,Autism Spectrum Disorder,15-35 Years,1,2,3
Chhattisgarh,Baloda Bazar,Autism Spectrum Disorder,35-60 Years,2,2,4
Chhattisgarh,Balod,Autism Spectrum Disorder,6-15 Years,1,0,1
Chhattisgarh,Balod,Autism Spectrum Disorder,15-35 Years,4,0,4
Chhattisgarh,Balod,Autism Spectrum Disorder,35-60 Years,4,1,5
Chhattisgarh,Balod,Autism Spectrum Disorder,60-80 Years,1,0,1
Uttar Pradesh,Ballia,Autism Spectrum Disorder,0-6 Years,1,1,2
Uttar Pradesh,Ballia,Autism Spectrum Disorder,6-15 Years,1,0,1
Uttar Pradesh,Ballia,Autism Spectrum Disorder,15-35 Years,2,2,4
Uttar Pradesh,Ballia,Autism Spectrum Disorder,35-60 Years,6,2,8
Uttar Pradesh,Ballia,Autism Spectrum Disorder,60-80 Years,3,0,3
Uttar Pradesh,Ballia,Autism Spectrum Disorder,80 Year and above,1,0,1
Karnataka,Ballari,Autism Spectrum Disorder,0-6 Years,1,0,1
Karnataka,Ballari,Autism Spectrum Disorder,6-15 Years,4,1,5
Karnataka,Ballari,Autism Spectrum Disorder,15-35 Years,6,2,8
Karnataka,Ballari,Autism Spectrum Disorder,35-60 Years,8,7,15
Karnataka,Ballari,Autism Spectrum Disorder,60-80 Years,1,1,2
Odisha,Baleshwar,Autism Spectrum Disorder,0-6 Years,3,1,4
Odisha,Baleshwar,Autism Spectrum Disorder,6-15 Years,15,4,19
Odisha,Baleshwar,Autism Spectrum Disorder,15-35 Years,10,4,14
Odisha,Baleshwar,Autism Spectrum Disorder,35-60 Years,5,4,9
Odisha,Baleshwar,Autism Spectrum Disorder,60-80 Years,5,0,5
Odisha,Balangir,Autism Spectrum Disorder,0-6 Years,7,1,8
Odisha,Balangir,Autism Spectrum Disorder,6-15 Years,9,2,11
Odisha,Balangir,Autism Spectrum Disorder,15-35 Years,2,5,7
Odisha,Balangir,Autism Spectrum Disorder,35-60 Years,2,1,3
Odisha,Balangir,Autism Spectrum Disorder,60-80 Years,4,1,5
Madhya Pradesh,Balaghat,Autism Spectrum Disorder,0-6 Years,3,0,3
Madhya Pradesh,Balaghat,Autism Spectrum Disorder,6-15 Years,5,3,8
Madhya Pradesh,Balaghat,Autism Spectrum Disorder,15-35 Years,0,2,2
Madhya Pradesh,Balaghat,Autism Spectrum Disorder,35-60 Years,1,0,1
Madhya Pradesh,Balaghat,Autism Spectrum Disorder,60-80 Years,1,0,1
Assam,Baksa,Autism Spectrum Disorder,15-35 Years,1,0,1
Uttar Pradesh,Bahraich,Autism Spectrum Disorder,15-35 Years,0,2,2
Uttar Pradesh,Bahraich,Autism Spectrum Disorder,35-60 Years,4,2,6
Uttar Pradesh,Bahraich,Autism Spectrum Disorder,80 Year and above,1,0,1
Uttar Pradesh,Baghpat,Autism Spectrum Disorder,6-15 Years,1,0,1
Uttar Pradesh,Baghpat,Autism Spectrum Disorder,15-35 Years,6,0,6
Uttar Pradesh,Baghpat,Autism Spectrum Disorder,35-60 Years,7,4,11
Uttar Pradesh,Baghpat,Autism Spectrum Disorder,60-80 Years,3,0,3
Uttarakhand,Bageshwar,Autism Spectrum Disorder,6-15 Years,0,1,1
Uttarakhand,Bageshwar,Autism Spectrum Disorder,15-35 Years,0,1,1
Uttarakhand,Bageshwar,Autism Spectrum Disorder,35-60 Years,1,2,3
Karnataka,Bagalkote,Autism Spectrum Disorder,6-15 Years,1,0,1
Karnataka,Bagalkote,Autism Spectrum Disorder,15-35 Years,1,1,2
Karnataka,Bagalkote,Autism Spectrum Disorder,35-60 Years,1,0,1
Uttar Pradesh,Azamgarh,Autism Spectrum Disorder,0-6 Years,1,0,1
Uttar Pradesh,Azamgarh,Autism Spectrum Disorder,15-35 Years,1,0,1
Uttar Pradesh,Ayodhya,Autism Spectrum Disorder,0-6 Years,1,0,1
Uttar Pradesh,Ayodhya,Autism Spectrum Disorder,6-15 Years,1,1,2
Uttar Pradesh,Ayodhya,Autism Spectrum Disorder,15-35 Years,3,2,5
Uttar Pradesh,Ayodhya,Autism Spectrum Disorder,35-60 Years,1,1,2
Bihar,Aurangabad,Autism Spectrum Disorder,0-6 Years,4,4,8
Bihar,Aurangabad,Autism Spectrum Disorder,6-15 Years,134,71,205
Bihar,Aurangabad,Autism Spectrum Disorder,15-35 Years,619,329,948
Bihar,Aurangabad,Autism Spectrum Disorder,35-60 Years,763,353,1116
Bihar,Aurangabad,Autism Spectrum Disorder,60-80 Years,266,156,422
Bihar,Aurangabad,Autism Spectrum Disorder,80 Year and above,18,4,22
Maharashtra,Aurangabad,Autism Spectrum Disorder,0-6 Years,1,0,1
Maharashtra,Aurangabad,Autism Spectrum Disorder,6-15 Years,8,1,9
Maharashtra,Aurangabad,Autism Spectrum Disorder,15-35 Years,4,0,4
Maharashtra,Aurangabad,Autism Spectrum Disorder,35-60 Years,0,1,1
Uttar Pradesh,Auraiya,Autism Spectrum Disorder,0-6 Years,1,0,1
Uttar Pradesh,Auraiya,Autism Spectrum Disorder,6-15 Years,1,0,1
Uttar Pradesh,Auraiya,Autism Spectrum Disorder,15-35 Years,4,1,5
Uttar Pradesh,Auraiya,Autism Spectrum Disorder,35-60 Years,18,3,21
Uttar Pradesh,Auraiya,Autism Spectrum Disorder,60-80 Years,7,1,8
Bihar,Arwal,Autism Spectrum Disorder,0-6 Years,1,2,3
Bihar,Arwal,Autism Spectrum Disorder,6-15 Years,57,33,90
Bihar,Arwal,Autism Spectrum Disorder,15-35 Years,218,105,323
Bihar,Arwal,Autism Spectrum Disorder,35-60 Years,296,273,569
Bihar,Arwal,Autism Spectrum Disorder,60-80 Years,167,131,298
Bihar,Arwal,Autism Spectrum Disorder,80 Year and above,13,5,18
Gujarat,Arvalli,Autism Spectrum Disorder,35-60 Years,1,0,1
Tamil Nadu,Ariyalur,Autism Spectrum Disorder,0-6 Years,2,0,2
Tamil Nadu,Ariyalur,Autism Spectrum Disorder,6-15 Years,2,1,3
Tamil Nadu,Ariyalur,Autism Spectrum Disorder,15-35 Years,1,0,1
Tamil Nadu,Ariyalur,Autism Spectrum Disorder,35-60 Years,1,0,1
Bihar,Araria,Autism Spectrum Disorder,0-6 Years,8,0,8
Bihar,Araria,Autism Spectrum Disorder,6-15 Years,146,103,249
Bihar,Araria,Autism Spectrum Disorder,15-35 Years,366,207,573
Bihar,Araria,Autism Spectrum Disorder,35-60 Years,365,178,543
Bihar,Araria,Autism Spectrum Disorder,60-80 Years,115,50,165
Bihar,Araria,Autism Spectrum Disorder,80 Year and above,7,1,8
Madhya Pradesh,Anuppur,Autism Spectrum Disorder,6-15 Years,1,0,1
Madhya Pradesh,Anuppur,Autism Spectrum Disorder,15-35 Years,1,0,1
Odisha,Anugul,Autism Spectrum Disorder,0-6 Years,8,1,9
Odisha,Anugul,Autism Spectrum Disorder,6-15 Years,9,3,12
Odisha,Anugul,Autism Spectrum Disorder,15-35 Years,7,1,8
Jammu And Kashmir,Anantnag,Autism Spectrum Disorder,0-6 Years,5,0,5
Jammu And Kashmir,Anantnag,Autism Spectrum Disorder,6-15 Years,3,3,6
Jammu And Kashmir,Anantnag,Autism Spectrum Disorder,15-35 Years,1,0,1
Jammu And Kashmir,Anantnag,Autism Spectrum Disorder,35-60 Years,1,1,2
Jammu And Kashmir,Anantnag,Autism Spectrum Disorder,60-80 Years,0,1,1
Andhra Pradesh,Anantapur,Autism Spectrum Disorder,6-15 Years,2,0,2
Gujarat,Anand,Autism Spectrum Disorder,0-6 Years,4,1,5
Gujarat,Anand,Autism Spectrum Disorder,6-15 Years,40,16,56
Gujarat,Anand,Autism Spectrum Disorder,15-35 Years,8,5,13
Gujarat,Anand,Autism Spectrum Disorder,35-60 Years,1,0,1
Uttar Pradesh,Amroha,Autism Spectrum Disorder,15-35 Years,12,1,13
Uttar Pradesh,Amroha,Autism Spectrum Disorder,35-60 Years,12,1,13
Uttar Pradesh,Amroha,Autism Spectrum Disorder,60-80 Years,6,0,6
Punjab,Amritsar,Autism Spectrum Disorder,0-6 Years,1,1,2
Punjab,Amritsar,Autism Spectrum Disorder,6-15 Years,13,2,15
Punjab,Amritsar,Autism Spectrum Disorder,15-35 Years,3,0,3
Punjab,Amritsar,Autism Spectrum Disorder,35-60 Years,1,1,2
Gujarat,Amreli,Autism Spectrum Disorder,0-6 Years,1,1,2
Gujarat,Amreli,Autism Spectrum Disorder,6-15 Years,5,1,6
Gujarat,Amreli,Autism Spectrum Disorder,15-35 Years,1,0,1
Gujarat,Amreli,Autism Spectrum Disorder,35-60 Years,2,0,2
Maharashtra,Amravati,Autism Spectrum Disorder,0-6 Years,4,2,6
Maharashtra,Amravati,Autism Spectrum Disorder,6-15 Years,6,2,8
Maharashtra,Amravati,Autism Spectrum Disorder,15-35 Years,1,3,4
Maharashtra,Amravati,Autism Spectrum Disorder,35-60 Years,1,0,1
Maharashtra,Amravati,Autism Spectrum Disorder,60-80 Years,1,0,1
Uttar Pradesh,Amethi,Autism Spectrum Disorder,15-35 Years,1,0,1
Uttar Pradesh,Amethi,Autism Spectrum Disorder,35-60 Years,0,1,1
Uttar Pradesh,Ambedkar Nagar,Autism Spectrum Disorder,15-35 Years,6,0,6
Uttar Pradesh,Ambedkar Nagar,Autism Spectrum Disorder,35-60 Years,5,0,5
Uttar Pradesh,Ambedkar Nagar,Autism Spectrum Disorder,60-80 Years,2,0,2
Haryana,Ambala,Autism Spectrum Disorder,0-6 Years,5,1,6
Haryana,Ambala,Autism Spectrum Disorder,6-15 Years,6,2,8
Haryana,Ambala,Autism Spectrum Disorder,15-35 Years,1,0,1
Haryana,Ambala,Autism Spectrum Disorder,35-60 Years,2,0,2
Haryana,Ambala,Autism Spectrum Disorder,60-80 Years,1,0,1
Rajasthan,Alwar,Autism Spectrum Disorder,6-15 Years,70,39,109
Rajasthan,Alwar,Autism Spectrum Disorder,15-35 Years,129,80,209
Rajasthan,Alwar,Autism Spectrum Disorder,35-60 Years,39,17,56
Rajasthan,Alwar,Autism Spectrum Disorder,60-80 Years,2,1,3
Rajasthan,Alwar,Autism Spectrum Disorder,80 Year and above,0,1,1
Uttarakhand,Almora,Autism Spectrum Disorder,6-15 Years,3,0,3
Uttar Pradesh,Aligarh,Autism Spectrum Disorder,0-6 Years,5,1,6
Uttar Pradesh,Aligarh,Autism Spectrum Disorder,6-15 Years,7,1,8
Uttar Pradesh,Aligarh,Autism Spectrum Disorder,15-35 Years,9,3,12
Uttar Pradesh,Aligarh,Autism Spectrum Disorder,35-60 Years,7,1,8
Uttar Pradesh,Aligarh,Autism Spectrum Disorder,60-80 Years,3,1,4
Kerala,Alappuzha,Autism Spectrum Disorder,0-6 Years,8,5,13
Kerala,Alappuzha,Autism Spectrum Disorder,6-15 Years,85,21,106
Kerala,Alappuzha,Autism Spectrum Disorder,15-35 Years,27,6,33
Maharashtra,Akola,Autism Spectrum Disorder,0-6 Years,3,2,5
Maharashtra,Akola,Autism Spectrum Disorder,6-15 Years,5,3,8
Maharashtra,Akola,Autism Spectrum Disorder,15-35 Years,1,0,1
Rajasthan,Ajmer,Autism Spectrum Disorder,6-15 Years,4,1,5
Rajasthan,Ajmer,Autism Spectrum Disorder,15-35 Years,33,22,55
Rajasthan,Ajmer,Autism Spectrum Disorder,35-60 Years,24,7,31
Rajasthan,Ajmer,Autism Spectrum Disorder,60-80 Years,1,1,2
Mizoram,Aizawl,Autism Spectrum Disorder,0-6 Years,4,2,6
Mizoram,Aizawl,Autism Spectrum Disorder,6-15 Years,13,5,18
Mizoram,Aizawl,Autism Spectrum Disorder,15-35 Years,2,0,2
Maharashtra,Ahmednagar,Autism Spectrum Disorder,0-6 Years,2,0,2
Maharashtra,Ahmednagar,Autism Spectrum Disorder,6-15 Years,3,0,3
Maharashtra,Ahmednagar,Autism Spectrum Disorder,15-35 Years,3,1,4
Maharashtra,Ahmednagar,Autism Spectrum Disorder,35-60 Years,3,1,4
Gujarat,Ahmadabad,Autism Spectrum Disorder,0-6 Years,21,7,28
Gujarat,Ahmadabad,Autism Spectrum Disorder,6-15 Years,65,22,87
Gujarat,Ahmadabad,Autism Spectrum Disorder,15-35 Years,19,1,20
Uttar Pradesh,Agra,Autism Spectrum Disorder,0-6 Years,2,3,5
Uttar Pradesh,Agra,Autism Spectrum Disorder,6-15 Years,8,0,8
Uttar Pradesh,Agra,Autism Spectrum Disorder,15-35 Years,1,0,1
Uttar Pradesh,Agra,Autism Spectrum Disorder,35-60 Years,1,1,2
Madhya Pradesh,Agar Malwa,Autism Spectrum Disorder,0-6 Years,2,0,2
Madhya Pradesh,Agar Malwa,Autism Spectrum Disorder,6-15 Years,2,2,4
West Bengal,24 Paraganas North,Autism Spectrum Disorder,15-35 Years,0,1,1
Nagaland,Zunheboto,Blindness,15-35 Years,1,1,2
Nagaland,Zunheboto,Blindness,35-60 Years,2,0,2
Maharashtra,Yavatmal,Blindness,0-6 Years,15,15,30
Maharashtra,Yavatmal,Blindness,6-15 Years,86,91,177
Maharashtra,Yavatmal,Blindness,15-35 Years,539,321,860
Maharashtra,Yavatmal,Blindness,35-60 Years,774,313,1087
Maharashtra,Yavatmal,Blindness,60-80 Years,374,131,505
Maharashtra,Yavatmal,Blindness,80 Year and above,21,8,29
Puducherry,Yanam,Blindness,6-15 Years,3,0,3
Puducherry,Yanam,Blindness,15-35 Years,17,16,33
Puducherry,Yanam,Blindness,35-60 Years,44,44,88
Puducherry,Yanam,Blindness,60-80 Years,26,9,35
Puducherry,Yanam,Blindness,80 Year and above,6,3,9
Haryana,Yamunanagar,Blindness,0-6 Years,2,5,7
Haryana,Yamunanagar,Blindness,6-15 Years,33,27,60
Haryana,Yamunanagar,Blindness,15-35 Years,77,55,132
Haryana,Yamunanagar,Blindness,35-60 Years,101,43,144
Haryana,Yamunanagar,Blindness,60-80 Years,32,19,51
Haryana,Yamunanagar,Blindness,80 Year and above,5,2,7
Karnataka,Yadgir,Blindness,0-6 Years,18,19,37
Karnataka,Yadgir,Blindness,6-15 Years,165,123,288
Karnataka,Yadgir,Blindness,15-35 Years,550,613,1163
Karnataka,Yadgir,Blindness,35-60 Years,877,835,1712
Karnataka,Yadgir,Blindness,60-80 Years,124,80,204
Karnataka,Yadgir,Blindness,80 Year and above,6,3,9
Andhra Pradesh,Y.S.R.,Blindness,0-6 Years,5,6,11
Andhra Pradesh,Y.S.R.,Blindness,6-15 Years,107,101,208
Andhra Pradesh,Y.S.R.,Blindness,15-35 Years,545,209,754
Andhra Pradesh,Y.S.R.,Blindness,35-60 Years,1506,97,1603
Andhra Pradesh,Y.S.R.,Blindness,60-80 Years,471,23,494
Andhra Pradesh,Y.S.R.,Blindness,80 Year and above,48,4,52
Nagaland,Wokha,Blindness,0-6 Years,1,0,1
Nagaland,Wokha,Blindness,6-15 Years,1,0,1
Nagaland,Wokha,Blindness,15-35 Years,6,2,8
Nagaland,Wokha,Blindness,35-60 Years,3,3,6
Nagaland,Wokha,Blindness,60-80 Years,1,0,1
Tripura,West Tripura,Blindness,0-6 Years,1,0,1
Tripura,West Tripura,Blindness,6-15 Years,6,5,11
Tripura,West Tripura,Blindness,15-35 Years,65,47,112
Tripura,West Tripura,Blindness,35-60 Years,106,68,174
Tripura,West Tripura,Blindness,60-80 Years,34,19,53
Tripura,West Tripura,Blindness,80 Year and above,3,4,7
Jharkhand,West Singhbhum,Blindness,0-6 Years,4,4,8
Jharkhand,West Singhbhum,Blindness,6-15 Years,69,40,109
Jharkhand,West Singhbhum,Blindness,15-35 Years,124,74,198
Jharkhand,West Singhbhum,Blindness,35-60 Years,151,73,224
Jharkhand,West Singhbhum,Blindness,60-80 Years,30,13,43
Jharkhand,West Singhbhum,Blindness,80 Year and above,2,2,4
Arunachal Pradesh,West Siang,Blindness,15-35 Years,0,1,1
Arunachal Pradesh,West Siang,Blindness,35-60 Years,2,1,3
Arunachal Pradesh,West Siang,Blindness,60-80 Years,0,1,1
Meghalaya,West Khasi Hills,Blindness,0-6 Years,0,1,1
Meghalaya,West Khasi Hills,Blindness,6-15 Years,9,8,17
Meghalaya,West Khasi Hills,Blindness,15-35 Years,15,15,30
Meghalaya,West Khasi Hills,Blindness,35-60 Years,11,5,16
Meghalaya,West Khasi Hills,Blindness,60-80 Years,7,7,14
Meghalaya,West Khasi Hills,Blindness,80 Year and above,0,2,2
Assam,West Karbi Anglong,Blindness,0-6 Years,0,1,1
Assam,West Karbi Anglong,Blindness,6-15 Years,0,1,1
Assam,West Karbi Anglong,Blindness,15-35 Years,2,6,8
Assam,West Karbi Anglong,Blindness,35-60 Years,3,6,9
Assam,West Karbi Anglong,Blindness,60-80 Years,2,1,3
Arunachal Pradesh,West Kameng,Blindness,15-35 Years,0,1,1
Meghalaya,West Jaintia Hills,Blindness,0-6 Years,2,2,4
Meghalaya,West Jaintia Hills,Blindness,6-15 Years,13,18,31
Meghalaya,West Jaintia Hills,Blindness,15-35 Years,24,28,52
Meghalaya,West Jaintia Hills,Blindness,35-60 Years,18,17,35
Meghalaya,West Jaintia Hills,Blindness,60-80 Years,4,3,7
Meghalaya,West Jaintia Hills,Blindness,80 Year and above,2,0,2
Andhra Pradesh,West Godavari,Blindness,0-6 Years,3,11,14
Andhra Pradesh,West Godavari,Blindness,6-15 Years,78,57,135
Andhra Pradesh,West Godavari,Blindness,15-35 Years,355,128,483
Andhra Pradesh,West Godavari,Blindness,35-60 Years,960,53,1013
Andhra Pradesh,West Godavari,Blindness,60-80 Years,326,19,345
Andhra Pradesh,West Godavari,Blindness,80 Year and above,22,0,22
Meghalaya,West Garo Hills,Blindness,6-15 Years,15,4,19
Meghalaya,West Garo Hills,Blindness,15-35 Years,84,93,177
Meghalaya,West Garo Hills,Blindness,35-60 Years,112,71,183
Meghalaya,West Garo Hills,Blindness,60-80 Years,67,34,101
Meghalaya,West Garo Hills,Blindness,80 Year and above,4,1,5
Delhi,West,Blindness,0-6 Years,3,4,7
Delhi,West,Blindness,6-15 Years,36,25,61
Delhi,West,Blindness,15-35 Years,142,98,240
Delhi,West,Blindness,35-60 Years,121,50,171
Delhi,West,Blindness,60-80 Years,37,14,51
Delhi,West,Blindness,80 Year and above,1,1,2
Kerala,Wayanad,Blindness,0-6 Years,1,2,3
Kerala,Wayanad,Blindness,6-15 Years,8,12,20
Kerala,Wayanad,Blindness,15-35 Years,43,32,75
Kerala,Wayanad,Blindness,35-60 Years,140,111,251
Kerala,Wayanad,Blindness,60-80 Years,88,54,142
Kerala,Wayanad,Blindness,80 Year and above,5,5,10
Maharashtra,Washim,Blindness,0-6 Years,15,9,24
Maharashtra,Washim,Blindness,6-15 Years,94,72,166
Maharashtra,Washim,Blindness,15-35 Years,457,247,704
Maharashtra,Washim,Blindness,35-60 Years,643,277,920
Maharashtra,Washim,Blindness,60-80 Years,358,160,518
Maharashtra,Washim,Blindness,80 Year and above,20,14,34
Maharashtra,Wardha,Blindness,0-6 Years,5,2,7
Maharashtra,Wardha,Blindness,6-15 Years,30,30,60
Maharashtra,Wardha,Blindness,15-35 Years,165,100,265
Maharashtra,Wardha,Blindness,35-60 Years,239,142,381
Maharashtra,Wardha,Blindness,60-80 Years,148,63,211
Maharashtra,Wardha,Blindness,80 Year and above,12,5,17
Andhra Pradesh,Vizianagaram,Blindness,0-6 Years,8,10,18
Andhra Pradesh,Vizianagaram,Blindness,6-15 Years,116,75,191
Andhra Pradesh,Vizianagaram,Blindness,15-35 Years,640,283,923
Andhra Pradesh,Vizianagaram,Blindness,35-60 Years,1408,149,1557
Andhra Pradesh,Vizianagaram,Blindness,60-80 Years,679,73,752
Andhra Pradesh,Vizianagaram,Blindness,80 Year and above,77,14,91
Andhra Pradesh,Visakhapatanam,Blindness,0-6 Years,7,4,11
Andhra Pradesh,Visakhapatanam,Blindness,6-15 Years,132,82,214
Andhra Pradesh,Visakhapatanam,Blindness,15-35 Years,787,315,1102
Andhra Pradesh,Visakhapatanam,Blindness,35-60 Years,1535,214,1749
Andhra Pradesh,Visakhapatanam,Blindness,60-80 Years,531,64,595
Andhra Pradesh,Visakhapatanam,Blindness,80 Year and above,35,13,48
Tamil Nadu,Virudhunagar,Blindness,0-6 Years,5,1,6
Tamil Nadu,Virudhunagar,Blindness,6-15 Years,41,26,67
Tamil Nadu,Virudhunagar,Blindness,15-35 Years,203,147,350
Tamil Nadu,Virudhunagar,Blindness,35-60 Years,405,250,655
Tamil Nadu,Virudhunagar,Blindness,60-80 Years,153,83,236
Tamil Nadu,Virudhunagar,Blindness,80 Year and above,7,3,10
Tamil Nadu,Villupuram,Blindness,0-6 Years,2,1,3
Tamil Nadu,Villupuram,Blindness,6-15 Years,28,27,55
Tamil Nadu,Villupuram,Blindness,15-35 Years,127,111,238
Tamil Nadu,Villupuram,Blindness,35-60 Years,322,229,551
Tamil Nadu,Villupuram,Blindness,60-80 Years,133,52,185
Tamil Nadu,Villupuram,Blindness,80 Year and above,9,3,12
Karnataka,Vijayapura,Blindness,0-6 Years,22,17,39
Karnataka,Vijayapura,Blindness,6-15 Years,178,129,307
Karnataka,Vijayapura,Blindness,15-35 Years,605,395,1000
Karnataka,Vijayapura,Blindness,35-60 Years,741,386,1127
Karnataka,Vijayapura,Blindness,60-80 Years,163,64,227
Karnataka,Vijayapura,Blindness,80 Year and above,6,8,14
Madhya Pradesh,Vidisha,Blindness,0-6 Years,8,6,14
Madhya Pradesh,Vidisha,Blindness,6-15 Years,78,58,136
Madhya Pradesh,Vidisha,Blindness,15-35 Years,398,203,601
Madhya Pradesh,Vidisha,Blindness,35-60 Years,384,191,575
Madhya Pradesh,Vidisha,Blindness,60-80 Years,160,72,232
Madhya Pradesh,Vidisha,Blindness,80 Year and above,19,5,24
Tamil Nadu,Vellore,Blindness,0-6 Years,2,0,2
Tamil Nadu,Vellore,Blindness,6-15 Years,23,25,48
Tamil Nadu,Vellore,Blindness,15-35 Years,218,132,350
Tamil Nadu,Vellore,Blindness,35-60 Years,404,220,624
Tamil Nadu,Vellore,Blindness,60-80 Years,152,49,201
Tamil Nadu,Vellore,Blindness,80 Year and above,19,4,23
Uttar Pradesh,Varanasi,Blindness,0-6 Years,8,10,18
Uttar Pradesh,Varanasi,Blindness,6-15 Years,65,59,124
Uttar Pradesh,Varanasi,Blindness,15-35 Years,411,265,676
Uttar Pradesh,Varanasi,Blindness,35-60 Years,385,184,569
Uttar Pradesh,Varanasi,Blindness,60-80 Years,137,49,186
Uttar Pradesh,Varanasi,Blindness,80 Year and above,6,7,13
Gujarat,Valsad,Blindness,0-6 Years,5,5,10
Gujarat,Valsad,Blindness,6-15 Years,76,63,139
Gujarat,Valsad,Blindness,15-35 Years,269,182,451
Gujarat,Valsad,Blindness,35-60 Years,235,109,344
Gujarat,Valsad,Blindness,60-80 Years,78,32,110
Gujarat,Valsad,Blindness,80 Year and above,8,7,15
Bihar,Vaishali,Blindness,0-6 Years,10,9,19
Bihar,Vaishali,Blindness,6-15 Years,62,40,102
Bihar,Vaishali,Blindness,15-35 Years,173,119,292
Bihar,Vaishali,Blindness,35-60 Years,120,57,177
Bihar,Vaishali,Blindness,60-80 Years,32,14,46
Bihar,Vaishali,Blindness,80 Year and above,4,0,4
Gujarat,Vadodara,Blindness,0-6 Years,10,4,14
Gujarat,Vadodara,Blindness,6-15 Years,37,32,69
Gujarat,Vadodara,Blindness,15-35 Years,209,148,357
Gujarat,Vadodara,Blindness,35-60 Years,279,135,414
Gujarat,Vadodara,Blindness,60-80 Years,188,56,244
Gujarat,Vadodara,Blindness,80 Year and above,11,6,17
Karnataka,Uttara Kannada,Blindness,0-6 Years,7,1,8
Karnataka,Uttara Kannada,Blindness,6-15 Years,23,17,40
Karnataka,Uttara Kannada,Blindness,15-35 Years,123,88,211
Karnataka,Uttara Kannada,Blindness,35-60 Years,294,195,489
Karnataka,Uttara Kannada,Blindness,60-80 Years,183,99,282
Karnataka,Uttara Kannada,Blindness,80 Year and above,5,9,14
Uttarakhand,Uttar Kashi,Blindness,0-6 Years,1,0,1
Uttarakhand,Uttar Kashi,Blindness,6-15 Years,19,12,31
Uttarakhand,Uttar Kashi,Blindness,15-35 Years,106,58,164
Uttarakhand,Uttar Kashi,Blindness,35-60 Years,133,79,212
Uttarakhand,Uttar Kashi,Blindness,60-80 Years,24,26,50
Uttarakhand,Uttar Kashi,Blindness,80 Year and above,1,0,1
Arunachal Pradesh,Upper Subansiri,Blindness,15-35 Years,5,1,6
Arunachal Pradesh,Upper Subansiri,Blindness,35-60 Years,1,1,2
Arunachal Pradesh,Upper Siang,Blindness,15-35 Years,1,3,4
Uttar Pradesh,Unnao,Blindness,0-6 Years,4,2,6
Uttar Pradesh,Unnao,Blindness,6-15 Years,27,15,42
Uttar Pradesh,Unnao,Blindness,15-35 Years,193,112,305
Uttar Pradesh,Unnao,Blindness,35-60 Years,329,136,465
Uttar Pradesh,Unnao,Blindness,60-80 Years,222,98,320
Uttar Pradesh,Unnao,Blindness,80 Year and above,13,6,19
Tripura,Unakoti,Blindness,6-15 Years,8,5,13
Tripura,Unakoti,Blindness,15-35 Years,57,34,91
Tripura,Unakoti,Blindness,35-60 Years,55,54,109
Tripura,Unakoti,Blindness,60-80 Years,16,14,30
Tripura,Unakoti,Blindness,80 Year and above,4,1,5
Himachal Pradesh,Una,Blindness,6-15 Years,11,6,17
Himachal Pradesh,Una,Blindness,15-35 Years,33,16,49
Himachal Pradesh,Una,Blindness,35-60 Years,65,31,96
Himachal Pradesh,Una,Blindness,60-80 Years,65,20,85
Himachal Pradesh,Una,Blindness,80 Year and above,7,7,14
Madhya Pradesh,Umaria,Blindness,0-6 Years,1,1,2
Madhya Pradesh,Umaria,Blindness,6-15 Years,26,27,53
Madhya Pradesh,Umaria,Blindness,15-35 Years,135,94,229
Madhya Pradesh,Umaria,Blindness,35-60 Years,150,85,235
Madhya Pradesh,Umaria,Blindness,60-80 Years,75,33,108
Madhya Pradesh,Umaria,Blindness,80 Year and above,5,3,8
Manipur,Ukhrul,Blindness,6-15 Years,0,2,2
Manipur,Ukhrul,Blindness,15-35 Years,6,4,10
Manipur,Ukhrul,Blindness,35-60 Years,8,7,15
Manipur,Ukhrul,Blindness,60-80 Years,2,3,5
Madhya Pradesh,Ujjain,Blindness,0-6 Years,1,1,2
Madhya Pradesh,Ujjain,Blindness,6-15 Years,38,16,54
Madhya Pradesh,Ujjain,Blindness,15-35 Years,143,90,233
Madhya Pradesh,Ujjain,Blindness,35-60 Years,233,101,334
Madhya Pradesh,Ujjain,Blindness,60-80 Years,107,43,150
Madhya Pradesh,Ujjain,Blindness,80 Year and above,14,5,19
Karnataka,Udupi,Blindness,0-6 Years,2,5,7
Karnataka,Udupi,Blindness,6-15 Years,18,10,28
Karnataka,Udupi,Blindness,15-35 Years,79,57,136
Karnataka,Udupi,Blindness,35-60 Years,186,137,323
Karnataka,Udupi,Blindness,60-80 Years,121,65,186
Karnataka,Udupi,Blindness,80 Year and above,4,4,8
Jammu And Kashmir,Udhampur,Blindness,0-6 Years,3,0,3
Jammu And Kashmir,Udhampur,Blindness,6-15 Years,29,16,45
Jammu And Kashmir,Udhampur,Blindness,15-35 Years,139,54,193
Jammu And Kashmir,Udhampur,Blindness,35-60 Years,154,74,228
Jammu And Kashmir,Udhampur,Blindness,60-80 Years,41,15,56
Jammu And Kashmir,Udhampur,Blindness,80 Year and above,3,2,5
Uttarakhand,Udam Singh Nagar,Blindness,0-6 Years,1,2,3
Uttarakhand,Udam Singh Nagar,Blindness,6-15 Years,16,19,35
Uttarakhand,Udam Singh Nagar,Blindness,15-35 Years,116,52,168
Uttarakhand,Udam Singh Nagar,Blindness,35-60 Years,152,69,221
Uttarakhand,Udam Singh Nagar,Blindness,60-80 Years,34,28,62
